Disease,Symptom,Precaution
septicemia,"fever, distress respiratory, hypotension, tachypnea, chill, lethargy, bradycardia, breech presentation, cyanosis, spontaneous rupture of membranes, haemorrhage, unresponsiveness, rale, apyrexial","Take prescribed antibiotics, Monitor for worsening symptoms, Maintain a healthy immune system"
accident cerebrovascular,"dysarthria, asthenia, speech slurred, facial paresis, hemiplegia, unresponsiveness, seizure, numbness","Control blood pressure, Follow a healthy diet, Engage in physical therapy"
suicide attempt,"hallucinations auditory, sleeplessness, suicidal, motor retardation, weepiness, unable to concentrate, todd paralysis, worry, fatigue, tremor, alcoholic withdrawal symptoms, agitation, unresponsiveness, blackout, withdraw, difficulty, irritable mood, sensory discomfort, drowsiness, formication, unconscious state, fever, cough","Seek immediate mental health support, Maintain a support system, Avoid substance abuse"
tachycardia sinus,"left atrial hypertrophy, sweat, sweating increased, alcohol binge episode, pressure chest, scar tissue, cardiovascular finding, cardiovascular event, orthostasis, shortness of breath, t wave inverted, vomiting, pain abdominal","Avoid caffeine and stimulants, Practice stress-relief techniques, Take prescribed medications"
thrombocytopaenia,"ecchymosis, monocytosis, posterior rhinorrhea, haemorrhage, tachypnea, fever, pruritus, hypotension, fatigue","Avoid contact sports, Use a soft toothbrush, Monitor for unusual bruising"
tricuspid valve insufficiency,"shortness of breath, pain, vomiting, nausea, bradycardia, pain abdominal, fever, cicatrisation, mediastinal shift, impaired cognition","Regular cardiology follow-ups, Avoid strenuous activities, Take prescribed medications"
upper respiratory infection,"cough, throat sore, wheezing, shortness of breath, labored breathing, fever, stuffy nose, non-productive cough, snuffle, indifferent mood, egophony, barking cough, polymyalgia, pleuritic pain, night sweat, dyspnea, productive cough, decreased translucency, rhonchus, rapid shallow breathing, apyrexial, noisy respiration, nasal discharge present, emphysematous change, frail, cystic lesion, symptom aggravating factors, hemodynamically stable","Stay hydrated, Rest well, Take over-the-counter medications as needed"
infection urinary tract,"fever, dysuria, hematuria, renal angle tenderness, lethargy, asthenia, hyponatremia, hemodynamically stable, distress respiratory, difficulty passing urine, mental status changes, consciousness clear","Drink plenty of water, Practice good hygiene, Urinate frequently"
peripheral vascular disease,"shortness of breath, rest pain, angina pectoris, unresponsiveness, hyperkalemia, sinus rhythm, labored breathing, dyspnea, sore to touch, anorexia, sleepy","Avoid smoking, Engage in regular exercise, Maintain a healthy weight"
encephalopathy,"uncoordination, asterixis, haemorrhage, drowsiness, sleepy, absences finding, posturing, aura, tonic seizures, debilitation, consciousness clear, unresponsiveness, thicken, hypokinesia","Monitor liver function, Avoid alcohol, Take prescribed medications"
thrombus,"hypokinesia, anorexia, hypertonicity, shortness of breath, hypoalbuminemia, pruritus, sore to touch, hemodynamically stable, facial paresis, vomiting, stool color yellow","Take prescribed anticoagulants, Stay active, Monitor for symptoms of blood clots"
deep vein thrombosis,"swelling, pain, ecchymosis, shortness of breath, pain in lower limb, cardiomegaly, rale, erythema, hypotension, clonus, non-productive cough, redness","Use compression stockings, Avoid prolonged sitting, Take anticoagulant medications"
migraine disorders,"ambidexterity, vomiting, dizziness, numbness, nausea, fever, splenomegaly","Avoid known triggers, Take prescribed medications, Maintain a regular sleep schedule"
affect labile,"extreme exhaustion, sleeplessness, enuresis, patient non compliance, feeling hopeless, hallucinations visual, bedridden, bedridden, prostatism","Engage in therapy, Practice stress-relief techniques, Maintain a regular routine"
malignant neoplasm of lung,"lesion, cough, lung nodule, shortness of breath, haemoptysis, debilitation, gurgle, ache, rale, night sweat, decreased translucency, asthenia, metastatic lesion, agitation, irritable mood","Avoid smoking, Follow prescribed treatment, Maintain a healthy diet"
malignant neoplasm of prostate,"hematuria, dysesthesia, asthenia, polymyalgia, passed stones, pleuritic pain, guaiac positive, rale, breath sounds decreased, urge incontinence, dysuria, diarrhea, vertigo, qt interval prolonged, ataxia, paresis, hemianopsia homonymous, tumor cell invasion, hemodynamically stable, mass of body structure, rhonchus, orthostasis, decreased body weight","Engage in regular screenings, Follow prescribed treatment, Maintain a healthy lifestyle"
dependence,"intoxication, tremor, agitation, suicidal, homelessness, prostatism, lethargy, seizure, muscle twitch, stuffy nose, feeling hopeless, heavy legs, rale","Seek professional help, Avoid triggers, Engage in support groups"
neuropathy,"asthenia, numbness, nausea and vomiting, awakening early, hydropneumothorax, superimposition, fatigability, tenesmus, pain, slowing of urinary stream","Manage blood sugar levels, Engage in regular exercise, Avoid alcohol"
dementia,"fever, fall, unresponsiveness, lethargy, agitation, ecchymosis, syncope, rale, unconscious state, cough, bedridden, bedridden, pain, facial paresis, abdominal tenderness, rhonchus, unsteady gait, hallucinations auditory","Engage in mental exercises, Maintain a healthy diet, Create a safe environment"
overload fluid,"rale, jugular venous distention, hyperkalemia, orthopnea, shortness of breath, drowsiness, sleepy, weight gain, hypokalemia, hypotension, swelling, distended abdomen","Limit fluid intake, Monitor daily weight, Follow a low-sodium diet"
anxiety state,"worry, feeling suicidal, suicidal, sleeplessness, feeling hopeless, irritable mood, tremor, blackout, weepiness, has religious belief, nervousness, hallucinations visual, formication, difficulty, pain chest, patient non compliance, agitation, palpitation, hallucinations auditory, mood depressed, hot flush, pain, consciousness clear, nightmare","Practice relaxation techniques, Engage in regular physical activity, Seek therapy"
cardiomyopathy,"shortness of breath, orthopnea, hypokinesia, jugular venous distention, palpitation, pain chest, syncope, yellow sputum, rale, dyspnea, dyspnea on exertion, left atrial hypertrophy, fatigue, weight gain, patient non compliance","Avoid alcohol, Take prescribed medications, Follow a heart-healthy diet"
respiratory failure,"hemiplegia, snore, unresponsiveness, productive cough, dyspnea, tachypnea, hyperkalemia, hypokinesia, sinus rhythm, general unsteadiness, bruit, consciousness clear, shortness of breath, lesion, redness","Use prescribed oxygen therapy, Avoid infections, Follow up with a pulmonologist"
ileus,"abscess bacterial, abdomen acute, air fluid level, catching breath, abdominal tenderness, nausea, sore to touch, flatulence, diarrhea, mass of body structure, apyrexial, constipation, thicken, gravida 0, pain abdominal","Stay hydrated, Follow a prescribed diet, Avoid opioid medications"
paranoia,"hallucinations auditory, hallucinations visual, agitation, irritable mood, verbal auditory hallucinations, feeling suicidal, suicidal, terrify, neologism, homelessness, energy increased, mood depressed, decompensation, cicatrisation, scar tissue, blackout, loose associations","Engage in therapy, Take prescribed medications, Maintain a supportive environment"
diverticulosis,"fecaluria, constipation, abscess bacterial, heme positive, lightheadedness, diarrhea, haemorrhage, pain, projectile vomiting, pneumatouria, cystic lesion, anorexia, nausea, feeling suicidal, feeling hopeless","Follow a high-fiber diet, Stay hydrated, Avoid seeds and nuts"
insufficiency renal,"shortness of breath, hyperkalemia, orthopnea, rale, urgency of micturition, ascites, guaiac positive, asthenia, apyrexial, mental status changes, dyspnea, difficulty, diarrhea, hypotension, breath sounds decreased, swelling, hypokinesia","Limit protein intake, Monitor blood pressure, Follow prescribed medications"
cirrhosis,"ascites, fall, splenomegaly, pruritus, pain abdominal, tumor cell invasion, distended abdomen, lesion, hemodynamically stable, guaiac positive, sore to touch, bleeding of vagina","Avoid alcohol, Follow a low-sodium diet, Regularly monitor liver function"
