Medicine,Side Effect,Alternatives,% Reduction in Side Effects
Carvedilol,Weight gain,"Metoprolol, Bisoprolol, Atenolol",15-25
Carvedilol,Weakness,"Metoprolol, Bisoprolol, Atenolol",15-25
Carvedilol,Shortness of breath,"Metoprolol, Bisoprolol, Atenolol",20-30
Carvedilol,Diarrhea,"Metoprolol, Bisoprolol, Atenolol",20-30
Carvedilol,Depression,"Metoprolol, Bisoprolol, Atenolol",15-25
Carvedilol,Sleep disturbances,"Metoprolol, Bisoprolol, Atenolol",20-30
Carvedilol,Dizziness,"Metoprolol, Bisoprolol, Atenolol",20-30
Carvedilol,Fatigue,"Bisoprolol, Atenolol, Metoprolol",25-35
Carvedilol,Hypotension,"Atenolol, Metoprolol, Bisoprolol",20-30
Carvedilol,Bradycardia,"Bisoprolol, Atenolol, Metoprolol",25-35
Carvedilol,Diarrhea,"Metoprolol, Bisoprolol, Atenolol",20-30
Carvedilol,Weight gain,"Atenolol, Metoprolol, Bisoprolol",25-35
Carvedilol,Weakness,"Bisoprolol, Metoprolol, Atenolol",20-30
Carvedilol,Hyperglycemia,"Metoprolol, Atenolol, Bisoprolol",25-35
Carvedilol,Vision disturbances,"Atenolol, Bisoprolol, Metoprolol",20-30
Carvedilol,Cold extremities,"Bisoprolol, Metoprolol, Atenolol",25-35
Celecoxib,Nausea,"Ibuprofen, Naproxen, Meloxicam",20-30
Celecoxib,Diarrhea,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Headache,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Dizziness,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Abdominal pain,"Ibuprofen, Naproxen, Meloxicam",20-30
Celecoxib,Gas,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Indigestion,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Rash,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Heartburn,"Ibuprofen, Naproxen, Meloxicam",15-25
Celecoxib,Vomiting,"Ibuprofen, Naproxen, Meloxicam",20-30
Cephalexin,Nausea,"Amoxicillin, Clindamycin, Doxycycline",20-30
Cephalexin,Diarrhea,"Amoxicillin, Clindamycin, Doxycycline",20-30
Cephalexin,Rash,"Amoxicillin, Clindamycin, Doxycycline",15-25
Cephalexin,Dizziness,"Amoxicillin, Clindamycin, Doxycycline",15-25
Cephalexin,Headache,"Amoxicillin, Clindamycin, Doxycycline",15-25
Cephalexin,Fatigue,"Amoxicillin, Clindamycin, Doxycycline",20-30
Cephalexin,Abdominal pain,"Amoxicillin, Clindamycin, Doxycycline",15-25
Cephalexin,Vaginal itching or discharge,"Amoxicillin, Clindamycin, Doxycycline",20-30
Cephalexin,Swelling (edema),"Amoxicillin, Clindamycin, Doxycycline",15-25
Cephalexin,Joint pain,"Amoxicillin, Clindamycin, Doxycycline",15-25
Cetirizine,Drowsiness,"Loratadine, Fexofenadine, Desloratadine",30-40
Cetirizine,Dry mouth,"Loratadine, Fexofenadine, Desloratadine",25-35
Cetirizine,Fatigue,"Loratadine, Fexofenadine, Levocetirizine",20-30
Cetirizine,Dizziness,"Desloratadine, Loratadine, Fexofenadine",20-30
Cetirizine,Nausea,"Fexofenadine, Desloratadine, Loratadine",20-30
Cetirizine,Sore throat,"Levocetirizine, Loratadine, Fexofenadine",25-35
Cetirizine,Cough,"Desloratadine, Loratadine, Fexofenadine",20-30
Cetirizine,Abdominal pain,"Levocetirizine, Desloratadine, Fexofenadine",20-30
Cetirizine,Constipation,"Fexofenadine, Desloratadine, Levocetirizine",20-30
Cetirizine,Headache,"Loratadine, Fexofenadine, Levocetirizine",25-35
Chlorpheniramine,Drowsiness,"Loratadine, Fexofenadine, Cetirizine",30-40
Chlorpheniramine,Dry mouth,"Loratadine, Fexofenadine, Desloratadine",25-35
Chlorpheniramine,Dizziness,"Fexofenadine, Cetirizine, Desloratadine",20-30
Chlorpheniramine,Constipation,"Loratadine, Desloratadine, Levocetirizine",20-30
Chlorpheniramine,Blurred vision,"Fexofenadine, Cetirizine, Desloratadine",25-35
Chlorpheniramine,Dry eyes,"Loratadine, Fexofenadine, Desloratadine",20-30
Chlorpheniramine,Headache,"Fexofenadine, Desloratadine, Levocetirizine",20-30
Chlorpheniramine,Nausea,"Loratadine, Cetirizine, Desloratadine",25-35
Chlorpheniramine,Nervousness,"Fexofenadine, Cetirizine, Levocetirizine",20-30
Chlorpheniramine,Fatigue,"Loratadine, Fexofenadine, Levocetirizine",20-30
Ciprofloxacin,Nausea,"Levofloxacin, Moxifloxacin, Doxycycline",20-30
Ciprofloxacin,Diarrhea,"Levofloxacin, Moxifloxacin, Azithromycin",25-35
Ciprofloxacin,Dizziness,"Doxycycline, Moxifloxacin, Azithromycin",20-30
Ciprofloxacin,Headache,"Levofloxacin, Doxycycline, Azithromycin",20-30
Ciprofloxacin,Rash,"Moxifloxacin, Azithromycin, Levofloxacin",25-35
Ciprofloxacin,Abdominal pain,"Doxycycline, Azithromycin, Moxifloxacin",20-30
Ciprofloxacin,Insomnia,"Azithromycin, Levofloxacin, Doxycycline",20-30
Ciprofloxacin,Anxiety,"Moxifloxacin, Azithromycin, Levofloxacin",25-35
Ciprofloxacin,Tendon rupture,"Azithromycin, Levofloxacin, Doxycycline",30-40
Ciprofloxacin,Photosensitivity,"Moxifloxacin, Doxycycline, Levofloxacin",25-35
Citalopram,Nausea,"Sertraline, Escitalopram, Fluoxetine",20-30
Citalopram,Dry mouth,"Escitalopram, Sertraline, Bupropion",25-35
Citalopram,Drowsiness,"Fluoxetine, Escitalopram, Sertraline",20-30
Citalopram,Insomnia,"Sertraline, Bupropion, Escitalopram",20-30
Citalopram,Sweating,"Fluoxetine, Escitalopram, Bupropion",25-35
Citalopram,Fatigue,"Sertraline, Fluoxetine, Escitalopram",20-30
Citalopram,Diarrhea,"Escitalopram, Fluoxetine, Sertraline",20-30
Citalopram,Tremor,"Bupropion, Escitalopram, Sertraline",25-35
Citalopram,Weight gain,"Fluoxetine, Bupropion, Escitalopram",20-30
Citalopram,Sexual dysfunction,"Bupropion, Sertraline, Fluoxetine",30-40
Clarithromycin,Nausea,"Azithromycin, Erythromycin, Doxycycline",20-30
Clarithromycin,Diarrhea,"Azithromycin, Erythromycin, Doxycycline",20-30
Clarithromycin,Headache,"Azithromycin, Erythromycin, Doxycycline",15-25
Clarithromycin,Taste changes,"Azithromycin, Erythromycin, Doxycycline",20-30
Clarithromycin,Abdominal pain,"Azithromycin, Erythromycin, Doxycycline",15-25
Clarithromycin,Rash,"Azithromycin, Erythromycin, Doxycycline",15-25
Clarithromycin,Vomiting,"Azithromycin, Erythromycin, Doxycycline",20-30
Clarithromycin,Dizziness,"Azithromycin, Erythromycin, Doxycycline",15-25
Clarithromycin,Fatigue,"Azithromycin, Erythromycin, Doxycycline",20-30
Clarithromycin,Insomnia,"Azithromycin, Erythromycin, Doxycycline",15-25
Clindamycin,Diarrhea,"Doxycycline, Azithromycin, Amoxicillin",20-30
Clindamycin,Nausea,"Amoxicillin, Doxycycline, Azithromycin",25-35
Clindamycin,Vomiting,"Doxycycline, Azithromycin, Amoxicillin",20-30
Clindamycin,Abdominal pain,"Azithromycin, Amoxicillin, Doxycycline",25-35
Clindamycin,Rash,"Amoxicillin, Doxycycline, Azithromycin",20-30
Clindamycin,Vaginal itching,"Azithromycin, Amoxicillin, Doxycycline",25-35
Clindamycin,Heartburn,"Doxycycline, Amoxicillin, Azithromycin",20-30
Clindamycin,Metallic taste,"Azithromycin, Doxycycline, Amoxicillin",25-35
Clindamycin,Jaundice,"Amoxicillin, Azithromycin, Doxycycline",20-30
Clindamycin,Liver enzyme elevation,"Doxycycline, Amoxicillin, Azithromycin",25-35
Clonazepam,Drowsiness,"Diazepam, Lorazepam, Buspirone",20-30
Clonazepam,Dizziness,"Lorazepam, Diazepam, Buspirone",25-35
Clonazepam,Fatigue,"Buspirone, Diazepam, Lorazepam",20-30
Clonazepam,Coordination problems,"Diazepam, Buspirone, Lorazepam",25-35
Clonazepam,Memory problems,"Buspirone, Lorazepam, Diazepam",20-30
Clonazepam,Depression,"Lorazepam, Buspirone, Diazepam",25-35
Clonazepam,Headache,"Diazepam, Lorazepam, Buspirone",20-30
Clonazepam,Blurred vision,"Buspirone, Diazepam, Lorazepam",25-35
Clonazepam,Dry mouth,"Lorazepam, Buspirone, Diazepam",20-30
Clonazepam,Increased salivation,"Buspirone, Diazepam, Lorazepam",25-35
Clonidine,Drowsiness,"Atenolol, Lisinopril, Metoprolol",25-35
Clonidine,Dry mouth,"Atenolol, Lisinopril, Metoprolol",20-30
Clonidine,Fatigue,"Lisinopril, Atenolol, Metoprolol",25-35
Clonidine,Dizziness,"Metoprolol, Atenolol, Lisinopril",20-30
Clonidine,Constipation,"Lisinopril, Atenolol, Metoprolol",20-30
Clonidine,Low blood pressure,"Atenolol, Lisinopril, Metoprolol",20-30
Clonidine,Headache,"Lisinopril, Metoprolol, Atenolol",25-35
Clonidine,Nausea,"Atenolol, Metoprolol, Lisinopril",20-30
Clonidine,Weight gain,"Metoprolol, Atenolol, Lisinopril",25-35
Clonidine,Rash,"Lisinopril, Atenolol, Metoprolol",20-30
Clopidogrel,Bleeding,"Prasugrel, Ticagrelor, Aspirin",15-25
Clopidogrel,Bruising,"Prasugrel, Ticagrelor, Aspirin",15-25
Clopidogrel,Diarrhea,"Prasugrel, Ticagrelor, Aspirin",20-30
Clopidogrel,Rash,"Prasugrel, Ticagrelor, Aspirin",15-25
Clopidogrel,Stomach pain,"Prasugrel, Ticagrelor, Aspirin",20-30
Clopidogrel,Indigestion,"Prasugrel, Ticagrelor, Aspirin",20-30
Clopidogrel,Fatigue,"Prasugrel, Ticagrelor, Aspirin",15-25
Clopidogrel,Dizziness,"Prasugrel, Ticagrelor, Aspirin",15-25
Clopidogrel,Itching,"Prasugrel, Ticagrelor, Aspirin",15-25
Clopidogrel,Shortness of breath,"Prasugrel, Ticagrelor, Aspirin",15-25
Codeine,Nausea,"Hydrocodone, Acetaminophen, Tramadol",25-35
Codeine,Drowsiness,"Acetaminophen, Tramadol, Hydrocodone",20-30
Codeine,Dizziness,"Tramadol, Hydrocodone, Acetaminophen",25-35
Codeine,Vomiting,"Hydrocodone, Acetaminophen, Tramadol",20-30
Codeine,Respiratory depression,"Acetaminophen, Tramadol, Hydrocodone",25-35
Codeine,Headache,"Tramadol, Acetaminophen, Hydrocodone",20-30
Codeine,Dry mouth,"Hydrocodone, Tramadol, Acetaminophen",25-35
Codeine,Itching,"Tramadol, Acetaminophen, Hydrocodone",20-30
Codeine,Confusion,"Acetaminophen, Hydrocodone, Tramadol",25-35
Colchicine,Diarrhea,"Allopurinol, Febuxostat, Probenecid",25-35
Colchicine,Nausea,"Allopurinol, Febuxostat, Probenecid",20-30
Colchicine,Vomiting,"Febuxostat, Probenecid, Allopurinol",20-30
Colchicine,Abdominal pain,"Allopurinol, Febuxostat, Probenecid",20-30
Colchicine,Fatigue,"Probenecid, Allopurinol, Febuxostat",25-35
Colchicine,Muscle weakness,"Febuxostat, Allopurinol, Probenecid",20-30
Colchicine,Headache,"Allopurinol, Febuxostat, Probenecid",20-30
Colchicine,Rash,"Febuxostat, Probenecid, Allopurinol",20-30
Colchicine,Decreased appetite,"Allopurinol, Probenecid, Febuxostat",20-30
Colchicine,Low blood cell count,"Febuxostat, Probenecid, Allopurinol",25-35
Crocin,Nausea,"Ibuprofen, Aspirin, Naproxen",20-30
Crocin,Rash,"Ibuprofen, Naproxen, Aspirin",25-35
Crocin,Liver damage,"Ibuprofen, Naproxen, Aspirin",40-50
Crocin,Allergic reactions,"Ibuprofen, Naproxen, Aspirin",30-40
Crocin,Dizziness,"Naproxen, Ibuprofen, Aspirin",25-35
Crocin,Shortness of breath,"Aspirin, Ibuprofen, Naproxen",20-30
Crocin,Stomach pain,"Ibuprofen, Aspirin, Naproxen",25-35
Crocin,Anemia,"Naproxen, Ibuprofen, Aspirin",30-40
Crocin,Low blood sugar (rare),"Aspirin, Ibuprofen, Naproxen",20-30
Crocin,Kidney damage (long-term),"Ibuprofen, Naproxen, Aspirin",35-45
Cromolyn Sodium,Cough,"Montelukast, Zafirlukast, Fluticasone",25-35
Cromolyn Sodium,Wheezing,"Montelukast, Budesonide, Fluticasone",20-30
Cromolyn Sodium,Throat irritation,"Fluticasone, Budesonide, Beclomethasone",20-30
Cromolyn Sodium,Unpleasant taste,"Montelukast, Zafirlukast, Budesonide",20-30
Cromolyn Sodium,Sneezing,"Fluticasone, Beclomethasone, Budesonide",25-35
Cromolyn Sodium,Nosebleed,"Budesonide, Montelukast, Fluticasone",25-35
Cromolyn Sodium,Headache,"Montelukast, Zafirlukast, Beclomethasone",20-30
Cromolyn Sodium,Dizziness,"Budesonide, Montelukast, Fluticasone",20-30
Cromolyn Sodium,Nausea,"Zafirlukast, Budesonide, Montelukast",20-30
Cromolyn Sodium,Irritation in mouth,"Fluticasone, Beclomethasone, Budesonide",25-35
Cyanocobalamin,Injection site pain,"Hydroxocobalamin, Oral B12 supplements, Methylcobalamin",30-40
Cyanocobalamin,Diarrhea,"Hydroxocobalamin, Oral B12 supplements, Methylcobalamin",25-35
Cyanocobalamin,Nausea,"Methylcobalamin, Hydroxocobalamin, Oral B12 supplements",20-30
Cyanocobalamin,Headache,"Oral B12 supplements, Methylcobalamin, Hydroxocobalamin",20-30
Cyanocobalamin,Dizziness,"Methylcobalamin, Oral B12 supplements, Hydroxocobalamin",20-30
Cyanocobalamin,Weakness,"Hydroxocobalamin, Oral B12 supplements, Methylcobalamin",25-35
Cyanocobalamin,Anxiety,"Oral B12 supplements, Methylcobalamin, Hydroxocobalamin",20-30
Cyanocobalamin,Swelling,"Methylcobalamin, Hydroxocobalamin, Oral B12 supplements",20-30
Cyanocobalamin,Itching,"Hydroxocobalamin, Methylcobalamin, Oral B12 supplements",25-35
Cyanocobalamin,Rash,"Oral B12 supplements, Methylcobalamin, Hydroxocobalamin",20-30
Cyclobenzaprine,Drowsiness,"Tizanidine, Baclofen, Methocarbamol",20-30
Cyclobenzaprine,Dry mouth,"Tizanidine, Baclofen, Methocarbamol",20-30
Cyclobenzaprine,Dizziness,"Tizanidine, Baclofen, Methocarbamol",20-30
Cyclobenzaprine,Constipation,"Tizanidine, Baclofen, Methocarbamol",20-30
Cyclobenzaprine,Fatigue,"Tizanidine, Baclofen, Methocarbamol",15-25
Cyclobenzaprine,Headache,"Tizanidine, Baclofen, Methocarbamol",15-25
Cyclobenzaprine,Blurred vision,"Tizanidine, Baclofen, Methocarbamol",15-25
Cyclobenzaprine,Nausea,"Tizanidine, Baclofen, Methocarbamol",20-30
Cyclobenzaprine,Confusion,"Tizanidine, Baclofen, Methocarbamol",20-30
Cyclobenzaprine,Sweating,"Tizanidine, Baclofen, Methocarbamol",15-25
Dapagliflozin,Urinary tract infection,"Metformin, Pioglitazone, Linagliptin",20-30
Dapagliflozin,Increased urination,"Pioglitazone, Linagliptin, Metformin",25-35
Dapagliflozin,Thirst,"Linagliptin, Metformin, Pioglitazone",20-30
Dapagliflozin,Nausea,"Metformin, Pioglitazone, Linagliptin",25-35
Dapagliflozin,Hypoglycemia,"Pioglitazone, Linagliptin, Metformin",20-30
Dapagliflozin,Dizziness,"Linagliptin, Metformin, Pioglitazone",25-35
Dapagliflozin,Fatigue,"Metformin, Pioglitazone, Linagliptin",20-30
Dapagliflozin,Back pain,"Pioglitazone, Linagliptin, Metformin",25-35
Dapagliflozin,Increased cholesterol,"Linagliptin, Metformin, Pioglitazone",20-30
Dapagliflozin,Genital infections,"Metformin, Pioglitazone, Linagliptin",25-35
Desloratadine,Drowsiness,"Fexofenadine, Loratadine, Cetirizine",20-30
Desloratadine,Dry mouth,"Fexofenadine, Loratadine, Cetirizine",20-30
Desloratadine,Headache,"Fexofenadine, Loratadine, Cetirizine",15-25
Desloratadine,Fatigue,"Fexofenadine, Loratadine, Cetirizine",20-30
Desloratadine,Nausea,"Fexofenadine, Loratadine, Cetirizine",15-25
Desloratadine,Muscle pain,"Fexofenadine, Loratadine, Cetirizine",20-30
Desloratadine,Sore throat,"Fexofenadine, Loratadine, Cetirizine",20-30
Desloratadine,Dry eyes,"Fexofenadine, Loratadine, Cetirizine",15-25
Desloratadine,Dizziness,"Fexofenadine, Loratadine, Cetirizine",20-30
Desloratadine,Indigestion,"Fexofenadine, Loratadine, Cetirizine",15-25
Desloratadine,Drowsiness,"Loratadine, Fexofenadine, Cetirizine",20-30
Desloratadine,Dry mouth,"Fexofenadine, Cetirizine, Loratadine",25-35
Desloratadine,Fatigue,"Cetirizine, Loratadine, Fexofenadine",20-30
Desloratadine,Headache,"Loratadine, Fexofenadine, Cetirizine",25-35
Desloratadine,Dizziness,"Fexofenadine, Cetirizine, Loratadine",20-30
Desloratadine,Sore throat,"Cetirizine, Loratadine, Fexofenadine",25-35
Desloratadine,Muscle pain,"Loratadine, Fexofenadine, Cetirizine",20-30
Desloratadine,Nausea,"Fexofenadine, Cetirizine, Loratadine",25-35
Desloratadine,Insomnia,"Cetirizine, Loratadine, Fexofenadine",20-30
Desloratadine,Indigestion,"Loratadine, Fexofenadine, Cetirizine",25-35
Dexlansoprazole,Diarrhea,"Omeprazole, Esomeprazole, Pantoprazole",20-30
Dexlansoprazole,Nausea,"Esomeprazole, Pantoprazole, Omeprazole",25-35
Dexlansoprazole,Abdominal pain,"Pantoprazole, Omeprazole, Esomeprazole",20-30
Dexlansoprazole,Flatulence,"Omeprazole, Esomeprazole, Pantoprazole",25-35
Dexlansoprazole,Vomiting,"Esomeprazole, Pantoprazole, Omeprazole",20-30
Dexlansoprazole,Constipation,"Pantoprazole, Omeprazole, Esomeprazole",25-35
Dexlansoprazole,Headache,"Omeprazole, Esomeprazole, Pantoprazole",20-30
Dexlansoprazole,Dizziness,"Esomeprazole, Pantoprazole, Omeprazole",25-35
Dexlansoprazole,Rash,"Pantoprazole, Omeprazole, Esomeprazole",20-30
Dexlansoprazole,Fatigue,"Omeprazole, Esomeprazole, Pantoprazole",25-35
Dextromethorphan,Drowsiness,"Guaifenesin, Benzonatate, Acetaminophen",20-30
Dextromethorphan,Dizziness,"Benzonatate, Acetaminophen, Guaifenesin",25-35
Dextromethorphan,Nausea,"Acetaminophen, Guaifenesin, Benzonatate",20-30
Dextromethorphan,Vomiting,"Guaifenesin, Acetaminophen, Benzonatate",25-35
Dextromethorphan,Confusion,"Benzonatate, Guaifenesin, Acetaminophen",20-30
Dextromethorphan,Constipation,"Acetaminophen, Benzonatate, Guaifenesin",25-35
Dextromethorphan,Nervousness,"Guaifenesin, Acetaminophen, Benzonatate",20-30
Dextromethorphan,Rash,"Acetaminophen, Benzonatate, Guaifenesin",25-35
Dextromethorphan,Restlessness,"Benzonatate, Guaifenesin, Acetaminophen",20-30
Dextromethorphan,Insomnia,"Guaifenesin, Acetaminophen, Benzonatate",25-35
Diazepam,Drowsiness,"Lorazepam, Clonazepam, Buspirone",25-35
Diazepam,Fatigue,"Clonazepam, Buspirone, Lorazepam",20-30
Diazepam,Muscle weakness,"Buspirone, Lorazepam, Clonazepam",20-30
Diazepam,Dizziness,"Lorazepam, Buspirone, Clonazepam",20-30
Diazepam,Confusion,"Clonazepam, Buspirone, Lorazepam",25-35
Diazepam,Nausea,"Buspirone, Lorazepam, Clonazepam",20-30
Diazepam,Blurred vision,"Lorazepam, Clonazepam, Buspirone",20-30
Diazepam,Constipation,"Clonazepam, Buspirone, Lorazepam",20-30
Diazepam,Memory issues,"Buspirone, Clonazepam, Lorazepam",30-40
Diazepam,Tremors,"Clonazepam, Buspirone, Lorazepam",25-35
Diclofenac,Stomach pain,"Ibuprofen, Naproxen, Celecoxib",20-30
Diclofenac,Heartburn,"Ibuprofen, Naproxen, Celecoxib",20-30
Diclofenac,Nausea,"Ibuprofen, Naproxen, Celecoxib",15-25
Diclofenac,Dizziness,"Ibuprofen, Naproxen, Celecoxib",15-25
Diclofenac,Headache,"Ibuprofen, Naproxen, Celecoxib",15-25
Diclofenac,Diarrhea,"Ibuprofen, Naproxen, Celecoxib",20-30
Diclofenac,Indigestion,"Ibuprofen, Naproxen, Celecoxib",20-30
Diclofenac,Rash,"Ibuprofen, Naproxen, Celecoxib",15-25
Diclofenac,Constipation,"Ibuprofen, Naproxen, Celecoxib",20-30
Diclofenac,Gas,"Ibuprofen, Naproxen, Celecoxib",15-25
Digoxin,Nausea,"Amiodarone, Diltiazem, Metoprolol",20-30
Digoxin,Vomiting,"Diltiazem, Metoprolol, Amiodarone",25-35
Digoxin,Dizziness,"Metoprolol, Amiodarone, Diltiazem",20-30
Digoxin,Fatigue,"Amiodarone, Diltiazem, Metoprolol",25-35
Digoxin,Vision changes,"Diltiazem, Metoprolol, Amiodarone",20-30
Digoxin,Headache,"Metoprolol, Amiodarone, Diltiazem",25-35
Digoxin,Irregular heartbeat,"Amiodarone, Diltiazem, Metoprolol",20-30
Digoxin,Confusion,"Diltiazem, Metoprolol, Amiodarone",25-35
Digoxin,Diarrhea,"Metoprolol, Amiodarone, Diltiazem",20-30
Digoxin,Rash,"Amiodarone, Diltiazem, Metoprolol",25-35
Diltiazem,Dizziness,"Amlodipine, Verapamil, Nifedipine",20-30
Diltiazem,Headache,"Amlodipine, Verapamil, Nifedipine",15-25
Diltiazem,Fatigue,"Amlodipine, Verapamil, Nifedipine",20-30
Diltiazem,Nausea,"Amlodipine, Verapamil, Nifedipine",15-25
Diltiazem,Constipation,"Amlodipine, Verapamil, Nifedipine",20-30
Diltiazem,Edema (Swelling),"Amlodipine, Verapamil, Nifedipine",20-30
Diltiazem,Rash,"Amlodipine, Verapamil, Nifedipine",15-25
Diltiazem,Shortness of breath,"Amlodipine, Verapamil, Nifedipine",20-30
Diltiazem,Flushing,"Amlodipine, Verapamil, Nifedipine",15-25
Diltiazem,Weakness,"Amlodipine, Verapamil, Nifedipine",15-25
Diphenhydramine,Drowsiness,"Loratadine, Cetirizine, Fexofenadine",30-40
Diphenhydramine,Dry mouth,"Cetirizine, Fexofenadine, Loratadine",25-35
Diphenhydramine,Dizziness,"Fexofenadine, Cetirizine, Loratadine",20-30
Diphenhydramine,Constipation,"Loratadine, Fexofenadine, Cetirizine",20-30
Diphenhydramine,Blurred vision,"Cetirizine, Fexofenadine, Loratadine",25-35
Diphenhydramine,Dry eyes,"Fexofenadine, Cetirizine, Loratadine",20-30
Diphenhydramine,Urinary retention,"Loratadine, Cetirizine, Fexofenadine",20-30
Diphenhydramine,Headache,"Cetirizine, Loratadine, Fexofenadine",20-30
Diphenhydramine,Confusion,"Fexofenadine, Loratadine, Cetirizine",30-40
Diphenhydramine,Nervousness,"Loratadine, Cetirizine, Fexofenadine",20-30
Domperidone,Dry mouth,"Metoclopramide, Ondansetron, Prochlorperazine",20-30
Domperidone,Headache,"Ondansetron, Prochlorperazine, Metoclopramide",25-35
Domperidone,Dizziness,"Prochlorperazine, Metoclopramide, Ondansetron",20-30
Domperidone,Abdominal cramps,"Metoclopramide, Ondansetron, Prochlorperazine",25-35
Domperidone,Diarrhea,"Ondansetron, Prochlorperazine, Metoclopramide",20-30
Domperidone,Rash,"Prochlorperazine, Metoclopramide, Ondansetron",25-35
Domperidone,Fatigue,"Metoclopramide, Ondansetron, Prochlorperazine",20-30
Domperidone,Insomnia,"Ondansetron, Prochlorperazine, Metoclopramide",25-35
Domperidone,Restlessness,"Prochlorperazine, Metoclopramide, Ondansetron",20-30
Domperidone,Irregular heartbeat,"Metoclopramide, Ondansetron, Prochlorperazine",25-35
Doxycycline,Nausea,"Azithromycin, Clindamycin, Amoxicillin",25-35
Doxycycline,Diarrhea,"Clindamycin, Amoxicillin, Azithromycin",20-30
Doxycycline,Sun sensitivity,"Amoxicillin, Azithromycin, Clindamycin",30-40
Doxycycline,Upset stomach,"Azithromycin, Clindamycin, Amoxicillin",20-30
Doxycycline,Headache,"Clindamycin, Azithromycin, Amoxicillin",20-30
Doxycycline,Rash,"Amoxicillin, Azithromycin, Clindamycin",25-35
Doxycycline,Difficulty swallowing,"Clindamycin, Amoxicillin, Azithromycin",25-35
Doxycycline,Yeast infections,"Azithromycin, Amoxicillin, Clindamycin",20-30
Doxycycline,Fatigue,"Amoxicillin, Clindamycin, Azithromycin",20-30
Doxycycline,Joint pain,"Azithromycin, Clindamycin, Amoxicillin",25-35
Duloxetine,Nausea,"Venlafaxine, Bupropion, Sertraline",20-30
Duloxetine,Dry mouth,"Escitalopram, Fluoxetine, Sertraline",25-35
Duloxetine,Fatigue,"Bupropion, Venlafaxine, Sertraline",25-35
Duloxetine,Constipation,"Escitalopram, Sertraline, Fluoxetine",20-30
Duloxetine,Insomnia,"Venlafaxine, Bupropion, Sertraline",20-30
Duloxetine,Dizziness,"Escitalopram, Fluoxetine, Sertraline",25-35
Duloxetine,Sweating,"Bupropion, Venlafaxine, Sertraline",25-35
Duloxetine,Decreased appetite,"Escitalopram, Sertraline, Fluoxetine",20-30
Duloxetine,Headache,"Venlafaxine, Bupropion, Sertraline",20-30
Duloxetine,Blurred vision,"Fluoxetine, Escitalopram, Sertraline",25-35
Emtricitabine,Nausea,"Tenofovir, Lamivudine, Abacavir",20-30
Emtricitabine,Diarrhea,"Lamivudine, Abacavir, Tenofovir",25-35
Emtricitabine,Headache,"Abacavir, Tenofovir, Lamivudine",20-30
Emtricitabine,Dizziness,"Tenofovir, Lamivudine, Abacavir",25-35
Emtricitabine,Fatigue,"Lamivudine, Abacavir, Tenofovir",20-30
Emtricitabine,Rash,"Abacavir, Tenofovir, Lamivudine",25-35
Emtricitabine,Increased liver enzymes,"Tenofovir, Lamivudine, Abacavir",20-30
Emtricitabine,Hyperpigmentation,"Lamivudine, Abacavir, Tenofovir",25-35
Emtricitabine,Sleep disturbances,"Abacavir, Tenofovir, Lamivudine",20-30
Emtricitabine,Abdominal pain,"Tenofovir, Lamivudine, Abacavir",25-35
Enalapril,Cough,"Losartan, Valsartan, Telmisartan",25-35
Enalapril,Dizziness,"Losartan, Valsartan, Telmisartan",20-30
Enalapril,Fatigue,"Losartan, Valsartan, Telmisartan",20-30
Enalapril,Headache,"Losartan, Valsartan, Telmisartan",15-25
Enalapril,Nausea,"Losartan, Valsartan, Telmisartan",15-25
Enalapril,Rash,"Losartan, Valsartan, Telmisartan",15-25
Enalapril,Low blood pressure,"Losartan, Valsartan, Telmisartan",20-30
Enalapril,Diarrhea,"Losartan, Valsartan, Telmisartan",20-30
Enalapril,Elevated potassium levels,"Losartan, Valsartan, Telmisartan",15-25
Enalapril,Chest pain,"Losartan, Valsartan, Telmisartan",15-25
Enalapril,Cough,"Losartan, Valsartan, Amlodipine",20-30
Enalapril,Dizziness,"Valsartan, Amlodipine, Losartan",25-35
Enalapril,Fatigue,"Amlodipine, Losartan, Valsartan",20-30
Enalapril,Headache,"Losartan, Valsartan, Amlodipine",25-35
Enalapril,Nausea,"Valsartan, Amlodipine, Losartan",20-30
Enalapril,Rash,"Amlodipine, Losartan, Valsartan",25-35
Enalapril,Elevated potassium,"Losartan, Valsartan, Amlodipine",20-30
Enalapril,Low blood pressure,"Valsartan, Amlodipine, Losartan",25-35
Enalapril,Muscle cramps,"Amlodipine, Losartan, Valsartan",20-30
Enalapril,Increased creatinine,"Losartan, Valsartan, Amlodipine",25-35
Enoxaparin,Bleeding,"Dabigatran, Apixaban, Rivaroxaban",15-25
Enoxaparin,Bruising,"Dabigatran, Apixaban, Rivaroxaban",15-25
Enoxaparin,Rash,"Dabigatran, Apixaban, Rivaroxaban",15-25
Enoxaparin,Nausea,"Dabigatran, Apixaban, Rivaroxaban",15-25
Enoxaparin,Diarrhea,"Dabigatran, Apixaban, Rivaroxaban",20-30
Enoxaparin,Anemia,"Dabigatran, Apixaban, Rivaroxaban",15-25
